Time,User full name,Affected user,Event context,Component,Event name,Description,Origin
"18/12/20, 23:47",anonfirstname62 anonlastname62,-,Course: test_anon,System,Course viewed,The user with id '174' viewed the course with id '11'.,
"18/12/20, 21:56",anonfirstname53 anonlastname53,-,Quiz: Weekly Mini Quiz,Quiz,Course module viewed,The user with id '165' viewed the 'quiz' activity with course module id '697'.,
"18/12/20, 21:56",anonfirstname53 anonlastname53,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '165' viewed the 'quiz' activity with course module id '716'.,
"18/12/20, 21:56",anonfirstname53 anonlastname53,-,Course: test_anon,Quiz,Course module instance list viewed,The user with id '165' viewed the instance list for the module 'quiz' in the course with id '11'.,
"18/12/20, 21:56",anonfirstname53 anonlastname53,-,Course: test_anon,Assignment,Course module instance list viewed,The user with id '165' viewed the instance list for the module 'assign' in the course with id '11'.,
"18/12/20, 18:46",anonfirstname73 anonlastname73,-,Assignment: Assignment 4: Revise and Resubmit,Assignment,A submission has been submitted.,The user with id '185' has submitted the submission with id '595' for the assignment with course module id '708'.,
"18/12/20, 18:46",anonfirstname73 anonlastname73,-,Assignment: Assignment 4: Revise and Resubmit,Assignment,Submission confirmation form viewed.,The user with id '185' viewed the submission confirmation form for the assignment with course module id '708'.,
"18/12/20, 18:46",anonfirstname73 anonlastname73,-,Assignment: Assignment 4: Revise and Resubmit,File submissions,A file has been uploaded.,The user with id '185' has uploaded a file to the submission with id '595' in the assignment activity with course module id '708'.,
"18/12/20, 18:46",anonfirstname73 anonlastname73,anonfirstname73 anonlastname73,Assignment: Assignment 4: Revise and Resubmit,File submissions,Submission created.,The user with id '185' created a file submission and uploaded '2' file/s in the assignment with course module id '708'.,
"18/12/20, 18:46",anonfirstname73 anonlastname73,-,Assignment: Assignment 4: Revise and Resubmit,Online text submissions,An online text has been uploaded.,The user with id '185' has saved an online text submission with id '595' in the assignment activity with course module id '708'.,
"18/12/20, 18:46",anonfirstname73 anonlastname73,anonfirstname73 anonlastname73,Assignment: Assignment 4: Revise and Resubmit,Online text submissions,Submission created.,The user with id '185' created an online text submission with '0' words in the assignment with course module id '708'.,
"18/12/20, 18:45",anonfirstname73 anonlastname73,anonfirstname73 anonlastname73,Assignment: Assignment 4: Revise and Resubmit,Assignment,Submission form viewed.,The user with id '185' viewed their submission for the assignment with course module id '708'.,
