id,userid,forumid,discussionid,postid,firstread,lastread
5982,160,45,36,296,1600366283,1600784035
5983,160,45,36,295,1600366283,1600784035
5984,160,45,36,294,1600366283,1600784035
5985,160,45,36,293,1600366283,1600784035
5986,160,45,36,292,1600366283,1600784035
5987,160,45,36,291,1600366283,1600784035
5988,160,45,36,290,1600366283,1600784035
5989,160,45,36,289,1600366283,1600784035
5990,160,45,36,288,1600199104,1600784035
5991,160,45,36,287,1600199104,1600784035
5992,160,45,36,286,1600199104,1600784035
5993,160,45,36,285,1600199104,1600784035
5994,160,45,36,284,1600199104,1600784035
5995,160,45,36,282,1600182880,1600784035
5996,160,45,36,281,1600182880,1600784035
5997,160,45,36,280,1600182880,1600784035
5998,160,45,36,303,1600784035,1600784035
5999,160,45,36,302,1600784035,1600784035
6000,160,45,36,301,1600784035,1600784035
6001,160,45,36,300,1600784035,1600784035
6002,160,45,36,279,1600182880,1600784035
6003,160,45,36,283,1600184030,1600784035
6004,160,45,36,278,1600182880,1600784035
6005,161,45,33,257,1609634828,1609634828
6006,161,45,33,256,1609634828,1609634828
6007,161,45,36,301,1600459092,1600459092
6008,161,45,36,300,1600459079,1600459079
6009,161,45,36,299,1600459079,1600459079
6010,161,45,36,298,1600459079,1600459079
6011,161,45,36,297,1600459079,1600459079
6012,161,45,36,296,1600459079,1600459079
6013,161,45,36,295,1600459079,1600459079
6014,161,45,36,294,1600459079,1600459079
6015,161,45,36,293,1600459079,1600459079
6016,161,45,36,292,1600459079,1600459079
6017,161,45,36,291,1600459079,1600459079
6018,161,45,36,290,1600459079,1600459079
6019,161,45,36,289,1600459079,1600459079
6020,161,45,36,288,1600459079,1600459079
6021,161,45,36,287,1600459079,1600459079
6022,161,45,36,286,1600459079,1600459079
6023,161,45,36,285,1600459079,1600459079
6024,161,45,36,284,1600459079,1600459079
6025,161,45,36,283,1600459079,1600459079
6026,161,45,36,282,1600459079,1600459079
6027,161,45,36,281,1600459079,1600459079
6028,161,45,36,280,1600459079,1600459079
6029,161,45,36,279,1600459079,1600459079
6030,161,45,36,278,1600172861,1600459079
6031,163,45,36,298,1600333424,1600333424
6032,163,45,36,297,1600333424,1600333424
6033,163,45,36,296,1600333424,1600333424
6034,163,45,36,295,1600333424,1600333424
6035,163,45,36,294,1600333424,1600333424
6036,163,45,36,293,1600333424,1600333424
6037,163,45,36,292,1600333424,1600333424
6038,163,45,36,291,1600237941,1600333424
6039,163,45,36,290,1600204676,1600333424
6040,163,45,36,289,1600201297,1600333424
6041,163,45,36,288,1600201297,1600333424
6042,163,45,36,287,1600192027,1600333424
6043,163,45,36,286,1600192027,1600333424
6044,163,45,36,285,1600192027,1600333424
6045,163,45,36,284,1600192027,1600333424
6046,163,45,36,283,1600192027,1600333424
6047,163,45,36,282,1600192027,1600333424
6048,163,45,36,281,1600192027,1600333424
6049,163,45,36,280,1600192027,1600333424
6050,163,45,36,279,1600177077,1600333424
6051,163,45,36,278,1600177077,1600333424
6052,164,45,35,273,1603295611,1603295611
6053,164,45,35,272,1603295611,1603295611
6054,164,45,35,271,1603295611,1603295611
6055,164,45,35,270,1603295611,1603295611
6056,164,45,35,263,1602603319,1603295611
6057,164,45,35,262,1602603319,1603295611
6058,164,45,35,261,1602603319,1603295611
6059,164,45,35,260,1602603319,1603295611
6060,164,45,35,269,1603285558,1603295611
6061,164,45,35,268,1603285558,1603295611
6062,164,45,35,267,1603285558,1603295611
6063,164,45,35,266,1603025081,1603295611
6064,164,45,35,265,1602851190,1603295611
6065,164,45,34,258,1602687570,1602687590
